iter	Passed	Remaining
0	1	127
1	2	119
2	3	114
3	4	105
4	5	105
5	6	105
6	8	107
7	9	105
8	10	107
9	11	107
10	13	105
11	14	103
12	15	102
13	17	106
14	18	106
15	19	104
16	21	103
17	22	102
18	23	101
19	26	104
20	27	103
21	28	101
22	29	99
23	30	97
24	31	95
25	33	94
26	34	92
27	35	91
28	36	89
29	37	87
30	38	86
31	40	85
32	41	83
33	42	82
34	43	80
35	44	79
36	45	78
37	46	76
38	48	75
39	49	74
40	50	72
41	51	70
42	52	69
43	53	68
44	54	67
45	56	65
46	57	64
47	58	63
48	59	62
49	60	60
50	62	59
51	63	58
52	64	57
53	66	56
54	66	54
55	67	53
56	68	52
57	70	51
58	71	49
59	73	48
60	74	47
61	75	46
62	77	45
63	78	44
64	79	42
65	80	41
66	81	40
67	83	39
68	84	37
69	85	36
70	87	35
71	88	34
72	89	33
73	90	31
74	91	30
75	92	29
76	93	28
77	94	26
78	95	25
79	97	24
80	98	23
81	99	21
82	100	20
83	101	19
84	102	18
85	104	16
86	105	15
87	106	14
88	107	13
89	108	12
90	109	10
91	110	9
92	111	8
93	112	7
94	114	6
95	115	4
96	116	3
97	118	2
98	119	1
99	120	0
